TransactionID|Date|ProductID|ProductName|Quantity|UnitPrice|CustomerID|Region|API_Category|API_Brand|API_Rating|API_Match
T062|2024-12-24|P102|Mouse|9|618.0|C009|East|None|None|None|False
T003|2024-12-01|P101|Laptop|2|59328.0|C008|North|None|None|None|False
T022|2024-12-20|P107|USB Cable|2|297.0|C013|West|None|None|None|False
T046|2024-12-30|P102|MouseWireless|4|640.0|C014|West|None|None|None|False
T049|2024-12-22|P109|Wireless MouseGaming|8|817.0|C007|East|None|None|None|False
T006|2024-12-11|P107|USB Cable|5|179.0|C007|East|None|None|None|False
T011|2024-12-03|P105|Webcam|4|2413.0|C013|East|None|None|None|False
T031|2024-12-24|P102|Mouse|8|441.0|C025|South|None|None|None|False
T033|2024-12-30|P104|Monitor|9|14591.0|C023|East|None|None|None|False
T058|2024-12-07|P109|Wireless MouseGaming|9|1043.0|C005|East|None|None|None|False
T029|2024-12-11|P110|Laptop Charger|8|1539.0|C004|East|None|None|None|False
T030|2024-12-08|P105|Webcam|1|2986.0|C029|North|None|None|None|False
T021|2024-12-25|P102|Mouse|1|524.0|C005|South|None|None|None|False
T070|2024-12-07|P106|Headphones|4|6463.0|C004|East|None|None|None|False
T028|2024-12-25|P106|Headphones|3|5418.0|C025|North|None|None|None|False
T014|2024-12-24|P109|Wireless Mouse|4|834.0|C015|West|None|None|None|False
T019|2024-12-24|P104|Monitor|9|16609.0|C024|West|None|None|None|False
T054|2024-12-03|P110|Laptop Charger65W|7|2846.0|C019|East|None|None|None|False
T001|2024-12-01|P102|Mouse|5|801.0|C008|South|None|None|None|False
T036|2024-12-18|P110|Laptop Charger|4|2705.0|C008|North|None|None|None|False
T020|2024-12-13|P110|Laptop Charger|6|1949.0|C005|West|None|None|None|False
T037|2024-12-23|P102|Mouse|1|768.0|C003|North|None|None|None|False
T012|2024-12-21|P108|External Hard Drive|6|4332.0|C012|East|None|None|None|False
T048|2024-12-13|P101|LaptopPremium|5|74819.0|C010|West|None|None|None|False
T044|2024-12-09|P103|Keyboard|8|1823.0|C028|North|None|None|None|False
T025|2024-12-14|P105|Webcam|3|3858.0|C001|East|None|None|None|False
T027|2024-12-27|P105|Webcam|9|4494.0|C007|South|None|None|None|False
T013|2024-12-22|P104|Monitor|5|10339.0|C020|South|None|None|None|False
T017|2024-12-07|P102|Mouse|10|944.0|C007|West|None|None|None|False
T038|2024-12-03|P106|Headphones|9|2949.0|C009|West|None|None|None|False
T052|2024-12-17|P101|LaptopPremium|2|57178.0|C003|North|None|None|None|False
T042|2024-12-02|P102|Mouse|7|994.0|C026|North|None|None|None|False
T053|2024-12-13|P104|MonitorLED|2|16067.0|C019|North|None|None|None|False
T040|2024-12-07|P107|USB Cable|2|149.0|C022|West|None|None|None|False
T065|2024-12-02|P105|Webcam|1|3366.0|C025|South|None|None|None|False
T039|2024-12-18|P104|Monitor|3|23488.0|C008|West|None|None|None|False
T016|2024-12-08|P101|Laptop|1|65673.0|C013|East|None|None|None|False
T041|2024-12-14|P106|Headphones|7|4825.0|C028|North|None|None|None|False
T043|2024-12-07|P104|Monitor|4|22700.0|C005|West|None|None|None|False
T009|2024-12-03|P107|USB Cable|9|250.0|C027|East|None|None|None|False
T056|2024-12-22|P103|KeyboardMechanical|5|2672.0|C011|North|None|None|None|False
T047|2024-12-07|P108|External Hard Drive1TB|7|3480.0|C006|West|None|None|None|False
T026|2024-12-25|P109|Wireless Mouse|3|1539.0|C030|North|None|None|None|False
T069|2024-12-05|P107|USB Cable|1|257.0|C012|North|None|None|None|False
T067|2024-12-01|P109|Wireless Mouse|2|654.0|C029|South|None|None|None|False
